questao_numero,retrieval_recall,has_doc_ref,abstained,z_winner,i_star,eta,z_agent_qwen35_9b,z_agent_granite41_8b,z_agent_gemma4_e4b,confidence_raw_qwen35_9b,confidence_raw_granite41_8b,confidence_raw_gemma4_e4b,confidence_calib_qwen35_9b,confidence_calib_granite41_8b,confidence_calib_gemma4_e4b,fold_k
36,,False,False,0,granite41_8b,0.9311701880659392,0,0,0,0.9,0.95,0.9,0.2222222222222222,0.2076271186440678,0.17543859649122806,9
37,1.0,True,False,0,gemma4_e4b,0.832572298325723,0,0,0,0.95,0.0,1.0,0.24621212121212122,0.0,0.45267489711934156,9
38,1.0,True,False,1,gemma4_e4b,0.8424193773558565,0,1,1,0.95,0.98,1.0,0.23272727272727273,0.35294117647058826,0.4251012145748988,2
39,1.0,True,False,0,granite41_8b,0.8926244343891403,0,0,0,0.95,0.98,0.9,0.21851851851851853,0.3230769230769231,0.16666666666666666,1
40,1.0,True,False,1,qwen35_9b,0.8383251315119633,1,1,1,1.0,0.98,1.0,0.5211267605633803,0.3458646616541353,0.4066390041493776,4
41,1.0,True,True,1,qwen35_9b,0.9392458100558659,1,0,0,0.9,0.1,0.1,0.21323529411764705,0.0,0.0,3
42,0.0,True,True,0,gemma4_e4b,0.9327330508474576,0,0,0,0.95,0.92,0.95,0.22676579925650558,0.08450704225352113,0.1864406779661017,7
43,0.0,True,False,0,gemma4_e4b,0.927185960591133,0,0,0,0.95,0.92,0.95,0.23272727272727273,0.08974358974358974,0.19642857142857142,2
44,0.0,True,False,0,gemma4_e4b,0.8507925897631781,0,0,0,0.95,0.95,1.0,0.23880597014925373,0.2079646017699115,0.42016806722689076,8
45,0.0,True,False,0,granite41_8b,0.8743003731343284,0,0,0,0.9,0.98,0.95,0.22676579925650558,0.3656716417910448,0.1864406779661017,7
46,0.0,True,False,0,gemma4_e4b,0.8566964955256711,0,0,0,0.95,0.98,1.0,0.22743682310469315,0.3458646616541353,0.4066390041493776,4
47,0.0,True,False,0,granite41_8b,0.9334578988608282,0,0,0,0.85,0.95,0.1,0.04081632653061224,0.20425531914893616,0.0,6
48,0.0,True,False,0,qwen35_9b,0.9266920741027574,0,0,0,0.9,0.92,0.9,0.23741007194244604,0.06593406593406594,0.15178571428571427,0
49,,False,False,0,gemma4_e4b,0.9238708455638671,0,0,0,0.95,0.92,0.95,0.21323529411764705,0.09876543209876543,0.2033898305084746,3
50,0.0,True,False,0,granite41_8b,0.9285121681415929,0,0,0,0.85,0.95,0.95,0.057692307692307696,0.2079646017699115,0.19672131147540983,8
51,1.0,True,False,1,granite41_8b,0.9311701880659392,1,1,0,0.9,0.95,0.6,0.2222222222222222,0.2076271186440678,0.07142857142857142,9
52,0.0,True,False,0,granite41_8b,0.9334578988608282,0,0,0,0.65,0.95,0.3,0.04081632653061224,0.20425531914893616,0.0,0
53,0.6666666666666666,True,False,0,gemma4_e4b,0.8350017101812792,0,0,0,0.95,0.95,1.0,0.21323529411764705,0.20353982300884957,0.44081632653061226,3
54,,False,False,1,granite41_8b,0.9334578988608282,1,1,0,0.75,0.95,0.1,0.04081632653061224,0.20425531914893616,0.0,6
55,0.3333333333333333,True,False,0,gemma4_e4b,0.8440629815100154,0,0,0,0.95,0.95,1.0,0.22676579925650558,0.22746781115879827,0.4322033898305085,7
56,,False,False,1,qwen35_9b,0.8289181532807595,1,1,1,1.0,0.98,1.0,0.5540540540540541,0.35555555555555557,0.43902439024390244,0
57,0.5,True,False,0,gemma4_e4b,0.8444444444444444,0,0,0,0.95,0.98,1.0,0.21851851851851853,0.3230769230769231,0.41975308641975306,1
58,1.0,True,False,1,gemma4_e4b,0.8444444444444444,0,1,1,0.95,0.95,1.0,0.21851851851851853,0.21030042918454936,0.41975308641975306,1
59,0.0,True,True,0,granite41_8b,0.9651898734177216,0,0,0,0.3,0.75,0.8,0.0,0.10126582278481013,0.08620689655172414,8
60,,False,True,0,granite41_8b,0.9651898734177216,0,0,0,0.2,0.92,0.2,0.0,0.10126582278481013,0.0,8
61,0.0,True,False,0,granite41_8b,0.9310945911304793,0,0,0,0.5,0.95,0.1,0.0,0.20425531914893616,0.0,4
62,0.5,True,False,0,gemma4_e4b,0.8566964955256711,0,0,0,0.95,0.98,1.0,0.22743682310469315,0.3458646616541353,0.4066390041493776,4
63,0.6666666666666666,True,False,0,granite41_8b,0.8926244343891403,1,0,0,0.95,0.98,0.95,0.21851851851851853,0.3230769230769231,0.16666666666666666,1
64,0.0,True,False,0,gemma4_e4b,0.832572298325723,0,0,0,0.95,0.95,1.0,0.24621212121212122,0.2076271186440678,0.45267489711934156,9
65,0.0,True,False,0,granite41_8b,0.9311701880659392,0,0,0,0.1,0.95,0.1,0.0,0.2076271186440678,0.0,9
66,0.0,True,False,0,qwen35_9b,0.9266920741027574,0,0,0,0.95,0.95,0.95,0.23741007194244604,0.20425531914893616,0.15178571428571427,5
67,,False,False,0,granite41_8b,0.9334578988608282,0,0,0,0.6,0.95,0.2,0.0,0.20425531914893616,0.0,6
68,0.3333333333333333,True,False,0,gemma4_e4b,0.8350017101812792,0,0,0,0.95,0.98,1.0,0.21323529411764705,0.3851851851851852,0.44081632653061226,3
69,0.6666666666666666,True,False,0,granite41_8b,0.8853955375253549,0,0,0,0.85,0.98,0.95,0.061224489795918366,0.35294117647058826,0.19642857142857142,2
70,1.0,True,False,0,gemma4_e4b,0.8424193773558565,0,0,0,0.95,0.98,1.0,0.23272727272727273,0.35294117647058826,0.4251012145748988,2
71,,False,True,1,granite41_8b,0.936744290192566,0,1,0,0.3,0.95,0.6,0.0,0.19480519480519481,0.08771929824561403,2
72,,False,False,0,gemma4_e4b,0.8395633248117184,0,0,0,0.95,0.95,1.0,0.23741007194244604,0.20425531914893616,0.43902439024390244,6
73,,False,False,0,gemma4_e4b,0.832572298325723,0,0,0,0.95,0.95,1.0,0.24621212121212122,0.2076271186440678,0.45267489711934156,9
74,1.0,True,False,0,gemma4_e4b,0.9238708455638671,0,0,0,0.95,0.92,0.95,0.21323529411764705,0.09876543209876543,0.2033898305084746,3
75,0.0,True,True,0,qwen35_9b,0.9350871459694989,0,0,0,0.95,0.92,0.8,0.21851851851851853,0.10526315789473684,0.09090909090909091,1
76,0.0,True,False,0,gemma4_e4b,0.8424193773558565,0,0,0,0.95,0.95,1.0,0.23272727272727273,0.19480519480519481,0.4251012145748988,2
77,,False,False,0,gemma4_e4b,0.8424193773558565,0,0,0,0.95,0.95,1.0,0.23272727272727273,0.19480519480519481,0.4251012145748988,2
78,0.0,True,True,0,granite41_8b,0.9785200635058992,0,0,0,0.1,0.2,0.3,0.0,0.06593406593406594,0.0,5
79,0.16666666666666666,True,False,0,qwen35_9b,0.9280868385345997,0,0,0,0.95,0.95,0.95,0.23880597014925373,0.2079646017699115,0.19672131147540983,8
80,,False,True,0,granite41_8b,0.9709507042253521,0,0,0,0.3,0.92,0.2,0.0,0.08450704225352113,0.0,7
81,0.0,True,False,0,qwen35_9b,0.9264736405147365,0,0,0,0.95,0.95,0.95,0.24621212121212122,0.2076271186440678,0.1896551724137931,9
82,0.0,True,False,0,granite41_8b,0.9301060338298409,0,0,0,0.95,0.95,0.95,0.21851851851851853,0.21030042918454936,0.16666666666666666,1
83,,False,False,0,qwen35_9b,0.929439780783785,0,0,0,0.95,0.92,0.95,0.22743682310469315,0.09090909090909091,0.15254237288135594,4
84,,False,False,0,granite41_8b,0.9218079399141631,0,0,0,0.95,0.95,0.1,0.22676579925650558,0.22746781115879827,0.0,7
85,,False,True,0,granite41_8b,0.9694664744051911,0,0,0,0.2,0.92,0.5,0.0,0.09210526315789473,0.07142857142857142,9
86,,False,False,0,qwen35_9b,0.9280868385345997,0,0,0,0.95,0.92,0.95,0.23880597014925373,0.10126582278481013,0.19672131147540983,8
87,,False,False,0,qwen35_9b,0.8385210803689065,0,0,1,1.0,0.98,1.0,0.5362318840579711,0.375,0.42016806722689076,8
88,0.0,True,False,1,gemma4_e4b,0.832572298325723,1,1,1,1.0,0.95,1.0,0.52,0.2076271186440678,0.45267489711934156,9
89,,False,False,0,gemma4_e4b,0.8566964955256711,0,0,0,0.95,0.98,1.0,0.22743682310469315,0.3458646616541353,0.4066390041493776,4
90,1.0,True,False,0,gemma4_e4b,0.832572298325723,0,0,0,1.0,0.98,1.0,0.52,0.3712121212121212,0.45267489711934156,9
91,0.5,True,False,1,granite41_8b,0.9301060338298409,0,1,1,0.95,0.95,0.95,0.21851851851851853,0.21030042918454936,0.16666666666666666,1
